supplier,part_number,avg_lead_time,reliability_score,quality_impact_score,consistency_index
S23,Textiles,0,0.73,100.0,0.73
S20,Machinery,0,0.88,100.0,0.88
S10,Food,7,0.95,100.0,0.12
S10,Machinery,0,0.92,100.0,0.92
S4,Machinery,0,0.6,100.0,0.6
S11,Pharma,0,0.72,100.0,0.72
S30,Food,0,0.6,100.0,0.6
S30,Food,0,0.63,100.0,0.63
S24,Food,0,0.75,100.0,0.75
S13,Machinery,1,0.53,100.0,0.26
S25,Textiles,0,0.61,100.0,0.61
S14,Food,0,0.97,100.0,0.97
S3,Machinery,0,0.73,100.0,0.73
S8,Pharma,1,0.72,100.0,0.36
S5,Textiles,7,0.51,100.0,0.06
S9,Pharma,0,0.62,100.0,0.62
S27,Textiles,1,0.93,100.0,0.46
S16,Machinery,0,0.58,100.0,0.58
S8,Electronics,2,0.71,100.0,0.24
S18,Textiles,5,0.51,100.0,0.08
S24,Pharma,10,0.74,100.0,0.07
S9,Machinery,0,0.51,100.0,0.51
S21,Textiles,2,0.91,100.0,0.3
S12,Electronics,7,0.91,100.0,0.11
S21,Electronics,1,0.89,100.0,0.44
S7,Food,3,0.64,100.0,0.16
S23,Food,3,0.92,100.0,0.23
S10,Pharma,0,0.77,100.0,0.77
S7,Textiles,2,0.69,100.0,0.23
S16,Textiles,7,0.81,100.0,0.1
S3,Food,7,0.51,100.0,0.06
S16,Textiles,1,0.57,100.0,0.28
S11,Textiles,2,0.87,100.0,0.29
S2,Electronics,0,0.62,100.0,0.62
S20,Food,0,0.8,100.0,0.8
S16,Machinery,0,0.69,100.0,0.69
S17,Food,1,0.93,100.0,0.46
S6,Machinery,1,0.98,100.0,0.49
S12,Electronics,0,0.94,100.0,0.94
S27,Pharma,1,0.64,100.0,0.32
S14,Textiles,10,0.6,100.0,0.05
S7,Electronics,3,0.74,100.0,0.18
S20,Textiles,0,0.5,100.0,0.5
S5,Pharma,2,0.51,100.0,0.17
S1,Pharma,0,0.78,100.0,0.78
S16,Electronics,2,0.76,100.0,0.25
S1,Pharma,0,1.0,100.0,1.0
S15,Machinery,3,0.6,100.0,0.15
S18,Pharma,1,0.63,100.0,0.32
S3,Textiles,3,0.56,100.0,0.14
S2,Textiles,0,0.96,100.0,0.96
S7,Textiles,0,0.89,100.0,0.89
S9,Textiles,3,0.91,100.0,0.23
S4,Machinery,1,0.95,100.0,0.48
S17,Food,1,0.76,100.0,0.38
S30,Electronics,10,0.73,100.0,0.07
S21,Textiles,10,0.67,100.0,0.06
S5,Pharma,5,0.79,100.0,0.13
S1,Textiles,1,0.73,100.0,0.36
S29,Pharma,3,0.73,100.0,0.18
S13,Pharma,3,0.97,100.0,0.24
S8,Textiles,2,0.99,100.0,0.33
S8,Machinery,0,0.9,100.0,0.9
S2,Pharma,1,0.88,100.0,0.44
S5,Pharma,5,0.84,100.0,0.14
S4,Textiles,2,0.58,100.0,0.19
S13,Pharma,2,0.53,100.0,0.18
S12,Pharma,0,0.85,100.0,0.85
S29,Textiles,2,0.86,100.0,0.29
S26,Textiles,0,0.52,100.0,0.52
S12,Electronics,5,0.96,100.0,0.16
S23,Machinery,10,0.55,100.0,0.05
S10,Machinery,2,0.64,100.0,0.21
S27,Pharma,5,0.84,100.0,0.14
S2,Machinery,10,0.58,100.0,0.05
S28,Pharma,3,0.53,100.0,0.13
S18,Electronics,10,0.67,100.0,0.06
S14,Textiles,1,0.88,100.0,0.44
S24,Textiles,0,0.71,100.0,0.71
S14,Textiles,0,0.83,100.0,0.83
S14,Machinery,1,0.79,100.0,0.4
S8,Electronics,0,0.51,100.0,0.51
S15,Machinery,3,0.99,100.0,0.25
S10,Machinery,0,0.52,100.0,0.52
S2,Electronics,2,0.98,100.0,0.33
S2,Electronics,0,0.77,100.0,0.77
S7,Electronics,1,0.98,100.0,0.49
S14,Electronics,0,0.56,100.0,0.56
S5,Textiles,5,0.75,100.0,0.12
S29,Food,0,0.58,100.0,0.58
S1,Food,3,0.53,100.0,0.13
S22,Electronics,0,0.81,100.0,0.81
S13,Food,0,0.6,100.0,0.6
S18,Food,0,0.79,100.0,0.79
S24,Electronics,3,0.56,100.0,0.14
S25,Food,0,0.67,100.0,0.67
S30,Machinery,1,0.89,100.0,0.44
S10,Pharma,0,0.72,100.0,0.72
S12,Pharma,2,0.81,100.0,0.27
S30,Electronics,0,0.82,100.0,0.82
S23,Textiles,0,0.92,100.0,0.92
S17,Electronics,1,0.66,100.0,0.33
S23,Textiles,3,0.84,100.0,0.21
S17,Pharma,7,0.98,100.0,0.12
S10,Electronics,10,0.87,100.0,0.08
S26,Machinery,5,0.74,100.0,0.12
S22,Food,3,0.82,100.0,0.2
S17,Textiles,1,0.87,100.0,0.44
S15,Food,0,0.81,100.0,0.81
S16,Food,0,0.51,100.0,0.51
S26,Electronics,0,0.6,100.0,0.6
S15,Food,0,0.91,100.0,0.91
S9,Machinery,0,0.64,100.0,0.64
S1,Food,1,0.87,100.0,0.44
S28,Electronics,0,0.69,100.0,0.69
S22,Machinery,0,0.76,100.0,0.76
S26,Pharma,10,0.53,100.0,0.05
S13,Food,1,0.59,100.0,0.3
S18,Electronics,2,0.98,100.0,0.33
S13,Pharma,0,0.95,100.0,0.95
S12,Pharma,10,0.83,100.0,0.08
S3,Textiles,0,0.73,100.0,0.73
S13,Machinery,2,0.84,100.0,0.28
S11,Food,0,0.81,100.0,0.81
S8,Electronics,0,0.78,100.0,0.78
S22,Textiles,10,0.53,100.0,0.05
S16,Machinery,2,0.82,100.0,0.27
S3,Textiles,1,0.88,100.0,0.44
S13,Machinery,0,1.0,100.0,1.0
S17,Machinery,0,0.51,100.0,0.51
S18,Food,0,0.87,100.0,0.87
S5,Machinery,2,0.79,100.0,0.26
S23,Textiles,3,0.72,100.0,0.18
S16,Machinery,0,0.56,100.0,0.56
S8,Food,0,0.7,100.0,0.7
S1,Food,0,0.68,100.0,0.68
S22,Textiles,3,0.65,100.0,0.16
S30,Pharma,3,0.87,100.0,0.22
S20,Pharma,0,0.85,100.0,0.85
S19,Machinery,2,0.79,100.0,0.26
S3,Electronics,0,0.97,100.0,0.97
S22,Machinery,0,0.67,100.0,0.67
S23,Textiles,0,0.62,100.0,0.62
S7,Textiles,1,0.83,100.0,0.42
S24,Textiles,2,0.6,100.0,0.2
S19,Textiles,0,0.66,100.0,0.66
S8,Textiles,5,0.61,100.0,0.1
S11,Food,1,0.53,100.0,0.26
S8,Pharma,1,0.91,100.0,0.46
S11,Textiles,0,0.63,100.0,0.63
S25,Electronics,10,0.74,100.0,0.07
S30,Electronics,0,0.52,100.0,0.52
S25,Electronics,0,0.85,100.0,0.85
S11,Electronics,1,0.67,100.0,0.34
S13,Food,3,0.87,100.0,0.22
S21,Electronics,1,0.71,100.0,0.36
S6,Textiles,1,0.6,100.0,0.3
S14,Machinery,0,0.76,100.0,0.76
S21,Electronics,5,0.57,100.0,0.09
S17,Food,2,0.72,100.0,0.24
S29,Food,3,0.66,100.0,0.16
S16,Electronics,1,0.96,100.0,0.48
S6,Machinery,2,0.53,100.0,0.18
S4,Electronics,7,0.85,100.0,0.11
S4,Food,1,0.59,100.0,0.3
S3,Pharma,0,0.66,100.0,0.66
S23,Textiles,3,0.71,100.0,0.18
S12,Food,0,0.95,100.0,0.95
S4,Electronics,5,0.62,100.0,0.1
S25,Textiles,1,0.55,100.0,0.28
S7,Electronics,0,0.66,100.0,0.66
S6,Electronics,2,0.55,100.0,0.18
S9,Pharma,0,0.56,100.0,0.56
S12,Textiles,0,0.79,100.0,0.79
S8,Textiles,0,0.53,100.0,0.53
S12,Pharma,0,0.52,100.0,0.52
S20,Food,0,0.86,100.0,0.86
S4,Electronics,0,0.68,100.0,0.68
S5,Machinery,0,0.56,100.0,0.56
S16,Electronics,1,0.63,100.0,0.32
S21,Electronics,7,0.82,100.0,0.1
S8,Food,1,0.64,100.0,0.32
S30,Electronics,10,0.75,100.0,0.07
S29,Pharma,0,0.56,100.0,0.56
S10,Pharma,0,0.79,100.0,0.79
S28,Textiles,10,0.66,100.0,0.06
S3,Machinery,0,0.81,100.0,0.81
S16,Electronics,2,0.9,100.0,0.3
S15,Electronics,1,0.81,100.0,0.4
S24,Food,3,0.65,100.0,0.16
S1,Pharma,5,0.63,100.0,0.1
S11,Machinery,0,0.66,100.0,0.66
S26,Textiles,10,0.58,100.0,0.05
